,channel_1,channel_2,theta,alpha,beta,gamma
0,C3-1,C3-0,0.050381669,0.014616305,0.04846626,0.075105494
1,C3-1,T7-0,0.221697723,0.082669639,0.046211356,0.077863236
2,C3-1,P7-0,0.051619,0.070661436,0.136489688,0.148433227
3,C3-1,C4-0,0.05034282,0.124743328,0.139167115,0.118351217
4,C3-1,T8-0,0.085131517,0.096807622,0.090961503,0.070516736
5,C3-1,P8-0,0.028686143,0.134348876,0.086594593,0.066669398
6,T7-1,C3-0,0.105524622,0.118608554,0.108810109,0.033964854
7,T7-1,T7-0,0.150640924,0.0579353,0.039205298,0.093095489
8,T7-1,P7-0,0.045941158,0.045712377,0.030830262,0.181891114
9,T7-1,C4-0,0.071036513,0.133369922,0.149857238,0.068887531
10,T7-1,T8-0,0.088320444,0.114319653,0.105558322,0.084988807
11,T7-1,P8-0,0.01566891,0.241656377,0.08254624,0.081272849
12,P7-1,C3-0,0.130197657,0.054439655,0.083263688,0.102497924
13,P7-1,T7-0,0.045907785,0.024333171,0.046436696,0.025308108
14,P7-1,P7-0,0.037211259,0.045413011,0.035581565,0.07464223
15,P7-1,C4-0,0.090228623,0.102988785,0.117827091,0.100155453
16,P7-1,T8-0,0.036102464,0.155433371,0.110752746,0.20064966
17,P7-1,P8-0,0.021654051,0.098434099,0.099430693,0.153467604
18,C4-1,C3-0,0.035214449,0.115679931,0.088196345,0.236792551
19,C4-1,T7-0,0.066817034,0.112261092,0.211209619,0.035018714
20,C4-1,P7-0,0.202183657,0.119770917,0.19423462,0.083177471
21,C4-1,C4-0,0.127934037,0.060404921,0.122948362,0.133669654
22,C4-1,T8-0,0.144159257,0.03743448,0.080873969,0.164052085
23,C4-1,P8-0,0.141243566,0.099580985,0.074918902,0.144248364
24,T8-1,C3-0,0.03605152,0.060062873,0.145495851,0.225977111
25,T8-1,T7-0,0.196499279,0.115985535,0.114246508,0.044881332
26,T8-1,P7-0,0.14281683,0.052667107,0.138999976,0.165846096
27,T8-1,C4-0,0.027181512,0.053023734,0.076283964,0.033140798
28,T8-1,T8-0,0.090158473,0.102612056,0.157073847,0.042256256
29,T8-1,P8-0,0.059486282,0.026664162,0.105573906,0.053327603
30,P8-1,C3-0,0.122082833,0.047138407,0.082923892,0.140957302
31,P8-1,T7-0,0.134658376,0.074168817,0.077567502,0.084746439
32,P8-1,P7-0,0.033024569,0.023110635,0.115180301,0.094868997
33,P8-1,C4-0,0.078081748,0.162927692,0.05057287,0.069495272
34,P8-1,T8-0,0.103174898,0.114528779,0.070013056,0.057536742
35,P8-1,P8-0,0.06296469,0.098276684,0.042705056,0.060780703
36,C3-1,C3-0,0.133479354,0.075542017,0.176299036,0.051555111
37,C3-1,T7-0,0.200992986,0.055977622,0.14711966,0.046966172
38,C3-1,P7-0,0.25730515,0.047521416,0.0788467,0.213399129
39,C3-1,C4-0,0.092214284,0.069633933,0.173667173,0.053052209
40,C3-1,T8-0,0.102257467,0.111038845,0.14683546,0.193785657
41,C3-1,P8-0,0.136578908,0.048518785,0.034917567,0.029519289
