,channel_1,channel_2,theta,alpha,beta,gamma
0,C3-1,C3-0,0.07099684351724385,0.07915876941279137,0.052042235599511835,0.04605683746662579
1,C3-1,T7-0,0.1271904086351819,0.14444443301608795,0.04035085311902953,0.12386093394152198
2,C3-1,P7-0,0.11355044570127065,0.1391648150198865,0.08286541722346183,0.18191602533859572
3,C3-1,C4-0,0.01634505783051296,0.08385314427565357,0.1070928289917752,0.1301257963718994
4,C3-1,T8-0,0.08933637129342792,0.09002876916435182,0.16613297366311852,0.05461783054100375
5,C3-1,P8-0,0.08919475222619333,0.06352545382552557,0.08937825960910073,0.07084994960678273
6,T7-1,C3-0,0.09577526787598543,0.04076802083239655,0.10492257778741418,0.17914184952274825
7,T7-1,T7-0,0.09654561841634267,0.14772266048840435,0.057482098552449276,0.3024906950496073
8,T7-1,P7-0,0.1901521339788239,0.0587884168951375,0.08045138998641782,0.22897164831699066
9,T7-1,C4-0,0.09301962600007176,0.08654767390713126,0.14880306992266318,0.09569640291905628
10,T7-1,T8-0,0.10067845802824607,0.17841490726387674,0.12155442862326556,0.15932668396919966
11,T7-1,P8-0,0.061741561808984026,0.08972593455896552,0.30172292491682473,0.1525836516386697
12,P7-1,C3-0,0.09819403198548893,0.0766237983990021,0.15684838735098178,0.3687675570080491
13,P7-1,T7-0,0.08964674247468328,0.16834494666679767,0.13234118872545242,0.11117986601282508
14,P7-1,P7-0,0.14273438904018335,0.05128062340678833,0.09113034958963276,0.09834688256097653
15,P7-1,C4-0,0.09738341119761224,0.17802273553277265,0.22219853046627008,0.120937647386789
16,P7-1,T8-0,0.12425050219568168,0.1864823813414004,0.0745121835513526,0.11944026361627667
17,P7-1,P8-0,0.06742358708294323,0.017899814621027108,0.14241393159384558,0.11886542001423588
18,C4-1,C3-0,0.17928811445945814,0.1825257927295704,0.21001970240257392,0.0666722390885291
19,C4-1,T7-0,0.03403907542788928,0.12224662153930695,0.30398030347779403,0.2381424804480456
20,C4-1,P7-0,0.16897704951103018,0.19621371689508785,0.18333935805425813,0.17853363434780103
21,C4-1,C4-0,0.14671145545671072,0.14037696998989546,0.08277576456502342,0.10499727858484792
22,C4-1,T8-0,0.2321587596612288,0.14734525354178796,0.06648223884837724,0.08580215741921395
23,C4-1,P8-0,0.06401892009177153,0.038469424932736085,0.05745472403068254,0.1272820627650011
24,T8-1,C3-0,0.11924956991808515,0.2253011650317325,0.07706185830422932,0.16015726275075115
25,T8-1,T7-0,0.02176488600343757,0.26253265029976103,0.0472063129018833,0.2678890038259269
26,T8-1,P7-0,0.16255379146326998,0.126527152698193,0.04901780020211628,0.12105454837919705
27,T8-1,C4-0,0.12828271417733586,0.12213255687044887,0.16862414831296935,0.15896821388704452
28,T8-1,T8-0,0.26960762355606016,0.13522235866472915,0.13041867145362565,0.20762183019066865
29,T8-1,P8-0,0.12447750272227552,0.06651865209784187,0.06945878190144238,0.20251073408832415
30,P8-1,C3-0,0.09553938234172488,0.06408660493204116,0.15927762656095568,0.05463694918028547
31,P8-1,T7-0,0.03520593709352877,0.15174119616542506,0.1132127588227789,0.14470578977411105
32,P8-1,P7-0,0.17280309718343398,0.21061823361208215,0.04691858330564543,0.08540892437518753
33,P8-1,C4-0,0.06966116985689459,0.1362630968403111,0.0745822481149666,0.11175001012334927
34,P8-1,T8-0,0.1342816326215593,0.10904307664882648,0.07938296931678226,0.21409770745216006
35,P8-1,P8-0,0.08331691019336628,0.13174757070309226,0.09083126378927102,0.12611859584598745
36,C3-1,C3-0,0.2890965829258733,0.14491130017743134,0.07237358619197977,0.08715863879164294
37,C3-1,T7-0,0.2902070937289101,0.10947740589742416,0.06015493162056569,0.2094369104016918
38,C3-1,P7-0,0.2932655609363327,0.15572498164222465,0.09999233071877804,0.16716679068531706
