,channel_1,channel_2,theta,alpha,beta,gamma
0,C3-1,C3-0,0.2490054643888738,0.07091295938579964,0.07681705382861544,0.03851981702604464
1,C3-1,T7-0,0.10578850693694873,0.10043344810340883,0.06845500400571297,0.05782960296484201
2,C3-1,P7-0,0.05754015763150357,0.05750765809704445,0.06789593589613348,0.07691273130648674
3,C3-1,C4-0,0.07402687066540455,0.13445094682208286,0.1151863862254976,0.16147350395970336
4,C3-1,T8-0,0.07760292322679868,0.059646320695115995,0.13628221297119633,0.14904388462416895
5,C3-1,P8-0,0.07094700050499621,0.0336539242148292,0.0974081192097305,0.11055736115119748
6,T7-1,C3-0,0.4356195147782579,0.07865999483236694,0.0732257620013007,0.0765110023786159
7,T7-1,T7-0,0.1657719368117785,0.2207398127092018,0.08494121262473578,0.127053825588264
8,T7-1,P7-0,0.12952571189445125,0.12967548141633428,0.09897166469010762,0.1289011585139884
9,T7-1,C4-0,0.2483553349247377,0.049581124012374064,0.09866079425152012,0.1509848801403348
10,T7-1,T8-0,0.28675984399112203,0.1114667645703789,0.06610927135486071,0.2135402265086573
11,T7-1,P8-0,0.22228558866807133,0.07872339045067017,0.07009415283179914,0.05970473427499257
12,P7-1,C3-0,0.3625203464112003,0.06536911209635772,0.13119956632501426,0.0976337829876678
13,P7-1,T7-0,0.15431596292058866,0.20926439908237632,0.05774225829106914,0.04958986300816033
14,P7-1,P7-0,0.09032345473670383,0.08529756873277647,0.049407673375005616,0.05743587166346908
15,P7-1,C4-0,0.1848461062260096,0.05659854474093207,0.14005162380274624,0.051700869867022936
16,P7-1,T8-0,0.18643704215353785,0.14614923543490255,0.18978530917953346,0.08381194339203145
17,P7-1,P8-0,0.13472172250785067,0.04317918147350353,0.07493059107446673,0.05937131311432915
18,C4-1,C3-0,0.17133350412173967,0.16202182002683607,0.18366676428415427,0.16283509675945665
19,C4-1,T7-0,0.05223438396334479,0.16523262093139074,0.07204128690369306,0.23666029589321386
20,C4-1,P7-0,0.07343371389576889,0.12820963970419852,0.061165773474855474,0.0891187724993242
21,C4-1,C4-0,0.1737845667968856,0.31390538191490425,0.11785140896439752,0.2135508092509772
22,C4-1,T8-0,0.1175523505695682,0.3232390989668794,0.08113314002581032,0.2526816015018242
23,C4-1,P8-0,0.048754700049444745,0.07818919206026276,0.06211208279158097,0.0961859755214326
24,T8-1,C3-0,0.1537792730079134,0.11917737929045427,0.11207998199037253,0.16662250096939354
25,T8-1,T7-0,0.07796217574093052,0.12099465154728535,0.09673126089791552,0.24979600016178796
26,T8-1,P7-0,0.062390714993671374,0.0938664698238994,0.0626964491907259,0.07904154224905778
27,T8-1,C4-0,0.09100309824270504,0.34216058655808235,0.07566370172397431,0.23815888762506315
28,T8-1,T8-0,0.10558172094583136,0.2319942728192784,0.07028566265034678,0.17462901156547633
29,T8-1,P8-0,0.11753519736508992,0.04358161213424888,0.0260761536069597,0.16827106725991128
30,P8-1,C3-0,0.3033817333988748,0.16016751032734933,0.15868374746772013,0.11220579601887308
31,P8-1,T7-0,0.1915481171820542,0.12948265090664726,0.08635681732057213,0.07239750090099728
32,P8-1,P7-0,0.11800896331386453,0.1613307822385221,0.11392313071355452,0.12825235732931425
33,P8-1,C4-0,0.2641745068890617,0.30011515851086434,0.04459308225943294,0.07477099674566287
34,P8-1,T8-0,0.24596219510620396,0.26660353247283675,0.08731635568746716,0.18419014303309686
35,P8-1,P8-0,0.17921984115123638,0.1033515146413839,0.05695681189606324,0.1873732581294246
36,C3-1,C3-0,0.09700574535712107,0.04182323583523157,0.1708269005513383,0.0782870910649271
37,C3-1,T7-0,0.034321192266086084,0.1226782319644696,0.14966809852447258,0.033307187422731886
