,channel_1,channel_2,theta,alpha,beta,gamma
0,C3-1,C3-0,0.046299119631782334,0.048140861521079464,0.2264705185908575,0.09000237958629423
1,C3-1,T7-0,0.07620410851344354,0.08934882765336277,0.1423621035382899,0.08651986856178986
2,C3-1,P7-0,0.10331656464100004,0.0647550483750818,0.09479151516851764,0.10619221926294757
3,C3-1,C4-0,0.0717162749073025,0.22231364613153884,0.24781654784805426,0.11972626706322305
4,C3-1,T8-0,0.155540535132262,0.3347248645679219,0.1504158513155969,0.14055003666431967
5,C3-1,P8-0,0.16004923802287244,0.22154406067906074,0.04154727576067768,0.08778758608567144
6,T7-1,C3-0,0.1297215183485246,0.10773087627912324,0.1317323037935786,0.06012901300033065
7,T7-1,T7-0,0.04288411289501818,0.03545062682496517,0.14488257885052974,0.06127575173866456
8,T7-1,P7-0,0.05951593562005191,0.04663165424967526,0.07893073546947844,0.05788871855890557
9,T7-1,C4-0,0.10846004455530688,0.07170775400561592,0.201906795666154,0.09880126696106102
10,T7-1,T8-0,0.1183461333008759,0.16463234818519698,0.09446939888661053,0.14172162769261812
11,T7-1,P8-0,0.12626315179401,0.051221875323160505,0.041833993578419534,0.07610137566923132
12,P7-1,C3-0,0.0966902493565185,0.09614582086266564,0.10955658033555314,0.0751344058559619
13,P7-1,T7-0,0.11618880792356046,0.053318459102112484,0.104741607969291,0.0679574945672537
14,P7-1,P7-0,0.09353932256658364,0.058600864728711885,0.12846589196240796,0.05431097543007688
15,P7-1,C4-0,0.0469152932159056,0.16530019207121055,0.07050475511209177,0.032368056569639536
16,P7-1,T8-0,0.08539086848145637,0.25410607546969377,0.0442600733251204,0.08204258804713048
17,P7-1,P8-0,0.1313404667320969,0.10448636849524576,0.08157573894702708,0.1373357985928417
18,C4-1,C3-0,0.14589434382923427,0.19723379315628467,0.18159747072356988,0.057997722860791
19,C4-1,T7-0,0.1056827220059675,0.1156341407950523,0.13322634356197754,0.1578007879159726
20,C4-1,P7-0,0.1570316487920389,0.16474749831873708,0.047062294275929485,0.10537533980734602
21,C4-1,C4-0,0.08194370119764664,0.038592843841323464,0.11549556032736608,0.15699421445414408
22,C4-1,T8-0,0.05331383781526064,0.030318160671141164,0.11140609976191464,0.05058642233058251
23,C4-1,P8-0,0.06517055114855895,0.029913609999784208,0.04240949753895023,0.03504156283510062
24,T8-1,C3-0,0.2308024101563548,0.08484780119477138,0.19133788596802906,0.07885871750392923
25,T8-1,T7-0,0.12525171464067414,0.03044616323950848,0.12619862710678276,0.11109408994957308
26,T8-1,P7-0,0.18897661311120173,0.1234259331813998,0.033300882725754787,0.08538748455379985
27,T8-1,C4-0,0.012891741723751259,0.04382590184219008,0.03676437978180487,0.17864511460703014
28,T8-1,T8-0,0.06802030987508323,0.08352376619777667,0.03804688645466103,0.1091434387945553
29,T8-1,P8-0,0.02226500379677306,0.10200306337122612,0.06545258546108028,0.07770327857742992
30,P8-1,C3-0,0.12319618353035001,0.1985523301684074,0.18455898582565008,0.17698280673365524
31,P8-1,T7-0,0.10519442183502796,0.14011400041626276,0.03860842649275298,0.10877520928161488
32,P8-1,P7-0,0.13588979849307567,0.166417534964737,0.09142035144526736,0.07471452681255737
33,P8-1,C4-0,0.01751572676292486,0.08365548338129825,0.061363434593472425,0.0921047775997986
34,P8-1,T8-0,0.04628683128221977,0.06372198342148694,0.1000259095030895,0.19260339415553504
35,P8-1,P8-0,0.11473916032636472,0.061657345552221264,0.08818023311828349,0.051280201484017136
36,C3-1,C3-0,0.03245676924920796,0.02436827444844539,0.1300270088282506,0.12938919177405347
