,channel_1,channel_2,theta,alpha,beta,gamma
0,C3-1,C3-0,0.1046376377728458,0.08746172069648296,0.08654293722486164,0.15499820910289086
1,C3-1,T7-0,0.1354221539660304,0.04107799985118533,0.13738589129837878,0.07318202573935625
2,C3-1,P7-0,0.06934923461489861,0.11241543445272036,0.15676866228553696,0.03786926372292977
3,C3-1,C4-0,0.12151713805106823,0.09909070600179176,0.08519652647568986,0.07208646843683929
4,C3-1,T8-0,0.05308097657240488,0.256653346740056,0.042386017114588434,0.09455991098958834
5,C3-1,P8-0,0.06668447750200096,0.13542161049649845,0.06731577991116125,0.1601694862684297
6,T7-1,C3-0,0.116220593244695,0.09116402102049412,0.07599454214032504,0.07557339823828722
7,T7-1,T7-0,0.06377738762970285,0.04866338920513465,0.07754545750408713,0.057123728512938066
8,T7-1,P7-0,0.047181798218319165,0.09719794343827863,0.14363398460341714,0.10923400930593646
9,T7-1,C4-0,0.10038214235313377,0.08932776497561272,0.05832092043077412,0.1206012727912086
10,T7-1,T8-0,0.09019801165123302,0.2257813235497085,0.07745794476147806,0.2218996484508054
11,T7-1,P8-0,0.14121544339448402,0.13204871752007422,0.08622030676462718,0.2515648646934497
12,P7-1,C3-0,0.12687342772927498,0.06880607655230386,0.08530742812880247,0.09908217423982824
13,P7-1,T7-0,0.11799914448940114,0.07076326904234359,0.0720838400819767,0.041059308177212234
14,P7-1,P7-0,0.05589288320500105,0.05640303250022419,0.11159367628928453,0.13222791304452008
15,P7-1,C4-0,0.12036560361069475,0.15123404908295865,0.08426080086923557,0.06965789119137734
16,P7-1,T8-0,0.2293386430554872,0.30643342400240137,0.053882201629561914,0.06833350780270447
17,P7-1,P8-0,0.208398442120634,0.16037994919155388,0.12218691144732766,0.07422958698261313
18,C4-1,C3-0,0.09846487318234387,0.039694539323945226,0.18204344921938415,0.11535852396497942
19,C4-1,T7-0,0.0870902727440958,0.1082851022980376,0.07086800300201201,0.14904229065491142
20,C4-1,P7-0,0.10253398088012194,0.10133838604062262,0.059355201277921925,0.13488487982801775
21,C4-1,C4-0,0.0984853205070964,0.19593211981410166,0.032369108986055585,0.04569156575729087
22,C4-1,T8-0,0.10600453800610177,0.0626248882615207,0.08378053505055216,0.11377499409879632
23,C4-1,P8-0,0.06170860662960102,0.14306599228879605,0.11832057309645845,0.06793858225594512
24,T8-1,C3-0,0.1914407272552426,0.05519720811928199,0.12313981257733,0.03456973134445175
25,T8-1,T7-0,0.018107691664328584,0.08395301725130666,0.11192459161494432,0.12896757822735194
26,T8-1,P7-0,0.11255780992086736,0.2164070662836517,0.08396543533599418,0.047881068375303135
27,T8-1,C4-0,0.11944648511863835,0.07029684311499959,0.04255352077546709,0.07215366848024282
28,T8-1,T8-0,0.11385733355304815,0.17820058880696102,0.10863904761921417,0.09593991418878944
29,T8-1,P8-0,0.1568160598480214,0.1356651783557533,0.09914119265172808,0.1458452105572142
30,P8-1,C3-0,0.1550626983785748,0.15374306728707665,0.11269257280711628,0.03404272712786882
31,P8-1,T7-0,0.058927395389363875,0.0693009816601228,0.06665071534023106,0.033805953442310924
32,P8-1,P7-0,0.10553168461321727,0.18416234741144555,0.07571751264439675,0.15056207617379394
33,P8-1,C4-0,0.1033355599762612,0.15552891695053758,0.07343398472353592,0.17889413471758345
34,P8-1,T8-0,0.09395212979041974,0.12846173532056546,0.08829560393028899,0.14461336203404904
35,P8-1,P8-0,0.15244706649510853,0.16270651255429874,0.07664636315415763,0.08004496281732235
36,C3-1,C3-0,0.09173854401620596,0.060372423327699966,0.07554624178665785,0.20614025427378316
37,C3-1,T7-0,0.17244585527101114,0.09292876491069037,0.09814076000773464,0.12185159457441384
38,C3-1,P7-0,0.14443544457531673,0.05207822988861207,0.0950284239945327,0.1593081206542851
39,C3-1,C4-0,0.1971228169882713,0.06771760414812861,0.07462316202065457,0.13947189227272214
40,C3-1,T8-0,0.06393379722126012,0.055840903089363216,0.04515615858665333,0.26988085732524675
41,C3-1,P8-0,0.17393911640740609,0.10565240943587073,0.0389104681275152,0.2271018746575549
42,T7-1,C3-0,0.06342760135978531,0.09414243435061516,0.14913255158304894,0.1113654856904504
43,T7-1,T7-0,0.05214525078063802,0.18984443969865625,0.13668285794160626,0.1476813613219976
44,T7-1,P7-0,0.0552816903728228,0.1466984515107738,0.1239750828544119,0.1671461410202858
45,T7-1,C4-0,0.060071169360763066,0.06644639750608082,0.044577845309950286,0.07011150311180625
46,T7-1,T8-0,0.09737395578388072,0.1298535412255064,0.058419470618070936,0.10697566326204484
47,T7-1,P8-0,0.03564865464845015,0.1156799814185062,0.03125875425358466,0.04807324337646159
48,P7-1,C3-0,0.07837852027485719,0.08769632286909626,0.0560905589114037,0.1655269734346161
49,P7-1,T7-0,0.02209621450336376,0.041027062725443535,0.10496836555932183,0.05809511752990261
50,P7-1,P7-0,0.04130120562896553,0.12987195605810495,0.051192739795994216,0.11282408706144766
51,P7-1,C4-0,0.04280621070960549,0.043029075191569864,0.0660559618011387,0.19350472167048224
52,P7-1,T8-0,0.04412919428605016,0.04404933393615214,0.0543411754202183,0.16606262336668412
53,P7-1,P8-0,0.04600983927224806,0.11298091995220708,0.07428539379725273,0.07543293105191233
54,C4-1,C3-0,0.05876208115493111,0.19872000680479934,0.06439925787226608,0.11278558802022336
55,C4-1,T7-0,0.055720058547532175,0.050612904456123736,0.06508229409104997,0.0902862364326526
56,C4-1,P7-0,0.03251394543212577,0.10484788415405304,0.07175122684025369,0.06387279883341374
57,C4-1,C4-0,0.1402602524613407,0.12046025484034376,0.07334330770866297,0.06359499286886014
58,C4-1,T8-0,0.06378230461317735,0.07022841822031124,0.07477588793566277,0.12538489543841558
59,C4-1,P8-0,0.06783652603573538,0.02741202434615629,0.0326674896601164,0.032269479051590236
60,T8-1,C3-0,0.24666736711766105,0.15220741679523825,0.12908689680392632,0.06530451659029983
61,T8-1,T7-0,0.10659285652372492,0.04124243188099574,0.12356440017859778,0.0756770884331898
62,T8-1,P7-0,0.0395578294357352,0.07678716148838025,0.1497494549912632,0.2094487378580802
63,T8-1,C4-0,0.16146396126306806,0.06704429396159206,0.06174435173868186,0.05031576063997988
64,T8-1,T8-0,0.09952791950423072,0.0780520500140327,0.11045504226456024,0.0945466793081404
65,T8-1,P8-0,0.15817130653323422,0.08515069525736424,0.058230351390357975,0.10817329059631113
66,P8-1,C3-0,0.07493785515747711,0.058395995752683186,0.1263819597646379,0.16522462873065755
67,P8-1,T7-0,0.05700490501215505,0.042470097021281135,0.12244084483724745,0.2481337242528961
68,P8-1,P7-0,0.03611188816693615,0.02990087498843927,0.10971613837228388,0.11789808276916035
69,P8-1,C4-0,0.14568013928036205,0.11886943674426705,0.07889162253215233,0.16605126567161427
70,P8-1,T8-0,0.07934020857380526,0.044383883367731566,0.06499989328726885,0.25986525074271644
71,P8-1,P8-0,0.10311171260650802,0.04112249669504793,0.08016424912835203,0.07807022777656555
72,C3-1,C3-0,0.137389381508946,0.09360655063988524,0.0921673504990198,0.1112028946996201
73,C3-1,T7-0,0.07686987351148461,0.07867738424829604,0.03630641470041444,0.09766874598298364
74,C3-1,P7-0,0.025994504859339868,0.04127912621182462,0.11306596929420225,0.12463916009650187
75,C3-1,C4-0,0.07351315112434764,0.03622840181379799,0.06853445656124134,0.07571887707426869
76,C3-1,T8-0,0.06793624147116438,0.11675556117406508,0.1241460780578769,0.1503282142494333
77,C3-1,P8-0,0.05322590034016278,0.04574241212183018,0.026592558788718714,0.05168821893688635
78,T7-1,C3-0,0.18746157504975014,0.07506072847210837,0.04907019861614433,0.1013670826551414
79,T7-1,T7-0,0.036787484437506415,0.10312574493856902,0.048444012212562115,0.032877273238293245
80,T7-1,P7-0,0.03527371696781933,0.06545955857509311,0.14800116493389687,0.11789578759781455
81,T7-1,C4-0,0.049385760267830085,0.03939200174455329,0.05736545716216265,0.07459249065356258
82,T7-1,T8-0,0.07809134783791849,0.07637352322018696,0.09702318378178973,0.1300519721953414
83,T7-1,P8-0,0.020766239342210144,0.09738708692320022,0.058333538924792726,0.04151761220031837
84,P7-1,C3-0,0.11310448820351605,0.07659563215477028,0.04304287011296275,0.036873499345619225
85,P7-1,T7-0,0.1318599829197148,0.07744960530858527,0.033591540187847185,0.10998933264997277
86,P7-1,P7-0,0.05044578526993298,0.06564165104218911,0.1267242225183126,0.07160141098194141
87,P7-1,C4-0,0.09357318006388957,0.07984940705844443,0.05436438213565237,0.09297465961046522
88,P7-1,T8-0,0.0335014802449326,0.03647587157983604,0.05524555725773115,0.09758390919520764
89,P7-1,P8-0,0.04650385691057785,0.027337840278974537,0.03475404224748911,0.16624979357976116
90,C4-1,C3-0,0.061278180455265126,0.0993986018836408,0.07489689659838507,0.06523421953504745
91,C4-1,T7-0,0.12920932787957734,0.10526644022145916,0.02717176217121637,0.04279898744942245
92,C4-1,P7-0,0.012804655389507216,0.035544407927623894,0.05599226214096836,0.06559842052718055
93,C4-1,C4-0,0.05169981583414448,0.07481939286390157,0.0900098020038375,0.1203135743882961
94,C4-1,T8-0,0.04336888360129724,0.018967928776333437,0.0639112293567342,0.030607298472372087
95,C4-1,P8-0,0.12148006987372124,0.08368343235780958,0.10949613917246273,0.033974428066935194
